"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Durée du voyage";"Raison principale du voyage";"Statistiques";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2018-01";"Total, tous les pays et régions";"";"Total, toutes les durées";"Total, toutes les raisons du voyage";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335310";"1.1.1.1";"65796";"A";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Total, toutes les durées";"Vacances, loisirs ou agrément";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335321";"1.1.2.1";"21308";"A";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Total, toutes les durées";"Visiter des amis ou de la parenté";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335322";"1.1.3.1";"26929";"A";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Total, toutes les durées";"Conférence ou congrès (personnel)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335323";"1.1.4.1";"1065";"B";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Total, toutes les durées";"Magasinage, non routinier";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335324";"1.1.5.1";"4209";"A";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Total, toutes les durées";"Autres raisons personnelles";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335325";"1.1.6.1";"4798";"A";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Total, toutes les durées";"Conférence ou congrès (pour les affaires)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335326";"1.1.7.1";"2211";"B";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Total, toutes les durées";"Autres raisons d'affaires";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335327";"1.1.8.1";"5277";"B";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Même jour";"Total, toutes les raisons du voyage";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335314";"1.2.1.1";"41676";"A";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Même jour";"Vacances, loisirs ou agrément";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335349";"1.2.2.1";"11582";"A";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Même jour";"Visiter des amis ou de la parenté";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335351";"1.2.3.1";"16971";"A";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Même jour";"Conférence ou congrès (personnel)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335353";"1.2.4.1";"683";"B";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Même jour";"Magasinage, non routinier";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335355";"1.2.5.1";"3945";"A";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Même jour";"Autres raisons personnelles";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335357";"1.2.6.1";"3805";"B";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Même jour";"Conférence ou congrès (pour les affaires)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335359";"1.2.7.1";"985";"C";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Même jour";"Autres raisons d'affaires";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335361";"1.2.8.1";"3704";"B";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Une nuit ou plus";"Total, toutes les raisons du voyage";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335315";"1.3.1.1";"24120";"A";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Une nuit ou plus";"Vacances, loisirs ou agrément";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335350";"1.3.2.1";"9726";"A";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Une nuit ou plus";"Visiter des amis ou de la parenté";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335352";"1.3.3.1";"9958";"A";"";"";"0"
"2018-01";"Total, tous les pays et régions";"";"Une nuit ou plus";"Conférence ou congrès (personnel)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335354";"1.3.4.1";"382";"B";"";"";"0"
