SAMPLE_NAME,WWTP_CODE,LOCATION,NUMBER,LAB_SAMPLE_ID,ANALYTE,CAS_NUMBER,RESULT,DETECTION_LIMIT,UNITS,SAMPLE_DATE,BATCH
A-BIOSD-13,A,Biosolids,13,B22H070-01,"Mercury, Total",7439-97-6,1.39,0.001,mg/kg,8/9/2022,BJI0066
A-BIOSD-14,A,Biosolids,14,B22H070-02,"Mercury, Total",7439-97-6,1.43,0.001,mg/kg,8/10/2022,BJI0066
A-BIOSD-15,A,Biosolids,15,B22H070-03,"Mercury, Total",7439-97-6,1.23,0.001,mg/kg,8/11/2022,BJI0066
A-BIOSD-7,A,Biosolids,7,B19K017-01,"Mercury, Total",7439-97-6,0.924,0.001,mg/kg,10/29/2019,BHA0025
A-BIOSD-8,A,Biosolids,8,B19K017-02,"Mercury, Total",7439-97-6,1.45,0.001,mg/kg,10/30/2019,BHA0025
A-BIOSD-9,A,Biosolids,9,B19K017-03,"Mercury, Total",7439-97-6,0.916,0.001,mg/kg,10/31/2019,BHA0025
Bur-Blank-S-67,Bur,Equipment Blank,67,B19K126-01,"Mercury, Total",7439-97-6,Non-Detect,0.001,mg/kg,11/28/2019,BHA0025
Bur-Blank-S-68,Bur,Equipment Blank,68,B19K126-02,"Mercury, Total",7439-97-6,Non-Detect,0.001,mg/kg,11/28/2019,BHA0025
Bur-Blank-S-69,Bur,Equipment Blank,69,B19K126-03,"Mercury, Total",7439-97-6,Non-Detect,0.001,mg/kg,11/28/2019,BHA0025
Bur-Blank-S-75,Bur,Equipment Blank,75,B22K078-01,"Mercury, Total",7439-97-6,Non-Detect,0.001,mg/kg,11/22/2022,BJL0079
Bur-Blank-S-76,Bur,Equipment Blank,76,B22K078-02,"Mercury, Total",7439-97-6,Non-Detect,0.001,mg/kg,11/22/2022,BJL0079
Bur-Blank-S-77,Bur,Equipment Blank,77,B22K078-03,"Mercury, Total",7439-97-6,Non-Detect,0.001,mg/kg,11/22/2022,BJL0079
Bur-Blank-S-75,Bur,Equipment Blank,75,B22K078-01,"Mercury, Total",7439-97-6,Non-Detect,0.001,mg/kg,11/22/2022,BJL0079
Bur-Blank-S-76,Bur,Equipment Blank,76,B22K078-02,"Mercury, Total",7439-97-6,Non-Detect,0.001,mg/kg,11/22/2022,BJL0079
Bur-Blank-S-77,Bur,Equipment Blank,77,B22K078-03,"Mercury, Total",7439-97-6,Non-Detect,0.001,mg/kg,11/22/2022,BJL0079
CB-BIOSK-4,CB,Biosolids,4,B22G041-01,"Mercury, Total",7439-97-6,0.487,0.001,mg/kg,7/5/2022,BJG0174
CB-BIOSK-5,CB,Biosolids,5,B22G041-02,"Mercury, Total",7439-97-6,0.397,0.001,mg/kg,7/6/2022,BJG0174
CB-BIOSK-6,CB,Biosolids,6,B22G041-03,"Mercury, Total",7439-97-6,0.446,0.001,mg/kg,7/7/2022,BJG0174
GL-BIOSD-1,GL,Biosolids,1,B22I087-01,"Mercury, Total",7439-97-6,0.365,0.001,mg/kg,9/20/2022,BJL0024
GL-BIOSD-2,GL,Biosolids,2,B22I087-02,"Mercury, Total",7439-97-6,0.24,0.001,mg/kg,9/21/2022,BJL0024
GL-BIOSD-3,GL,Biosolids,3,B22I087-03,"Mercury, Total",7439-97-6,0.557,0.001,mg/kg,9/22/2022,BJL0024
HG-BIOSD-27,HG,Biosolids,27,B22E024-01,"Mercury, Total",7439-97-6,0.575,0.001,mg/kg,5/3/2022,BJF0028
HG-BIOSD-28,HG,Biosolids,28,B22E024-02,"Mercury, Total",7439-97-6,0.792,0.001,mg/kg,5/4/2022,BJF0028
HG-BIOSD-29,HG,Biosolids,29,B22E024-03,"Mercury, Total",7439-97-6,0.573,0.001,mg/kg,5/5/2022,BJF0028
IO-BIOSK-1,IO,Biosolids,1,B19K013-01,"Mercury, Total",7439-97-6,1.51,0.001,mg/kg,10/29/2019,BHA0025
IO-BIOSK-2,IO,Biosolids,2,B19K013-02,"Mercury, Total",7439-97-6,1.18,0.001,mg/kg,10/30/2019,BHA0025
IO-BIOSK-3,IO,Biosolids,3,B19K013-03,"Mercury, Total",7439-97-6,1.56,0.001,mg/kg,10/31/2019,BHA0025
IO-BIOSK-7,IO,Biosolids,7,B22H074-01,"Mercury, Total",7439-97-6,1.24,0.001,mg/kg,8/9/2022,BJI0066
IO-BIOSK-8,IO,Biosolids,8,B22H074-02,"Mercury, Total",7439-97-6,2.68,0.001,mg/kg,8/10/2022,BJI0066
IO-BIOSK-9,IO,Biosolids,9,B22H074-03,"Mercury, Total",7439-97-6,1.15,0.001,mg/kg,8/11/2022,BJI0066
M-BIOSD-13,M,Biosolids,13,B22F104-01,"Mercury, Total",7439-97-6,0.252,0.001,mg/kg,6/14/2022,BJF0174
M-BIOSD-14,M,Biosolids,14,B22F104-02,"Mercury, Total",7439-97-6,0.251,0.001,mg/kg,6/15/2022,BJF0174
M-BIOSD-15,M,Biosolids,15,B22F104-03,"Mercury, Total",7439-97-6,0.229,0.001,mg/kg,6/16/2022,BJF0174
M-BIOSD-7,M,Biosolids,7,B19I213-01,"Mercury, Total",7439-97-6,0.209,0.001,mg/kg,9/24/2019,BHA0025
M-BIOSD-8,M,Biosolids,8,B19I213-02,"Mercury, Total",7439-97-6,0.232,0.001,mg/kg,9/25/2019,BHA0025
M-BIOSD-9,M,Biosolids,9,B19I213-03,"Mercury, Total",7439-97-6,0.373,0.001,mg/kg,9/26/2019,BHA0025
MH-BIOSD-13,MH,Biosolids,13,B22E093-01,"Mercury, Total",7439-97-6,0.42,0.001,mg/kg,5/17/2022,BJF0028
MH-BIOSD-14,MH,Biosolids,14,B22E093-02,"Mercury, Total",7439-97-6,0.532,0.001,mg/kg,5/18/2022,BJF0028
MH-BIOSD-15,MH,Biosolids,15,B22E093-03,"Mercury, Total",7439-97-6,0.367,0.001,mg/kg,5/19/2022,BJF0028
P-BIOSD-28,P,Biosolids,28,B22G043-01,"Mercury, Total",7439-97-6,0.608,0.001,mg/kg,7/7/2022,BJG0174
