"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Motif principal du voyage";"Durée de voyage";"Statistiques de voyage";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Tous les motifs principaux de voyage";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918320195";"1.1.1.1";"78757";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Tous les motifs principaux de voyage";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320196";"1.1.1.2";"65796";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Tous les motifs principaux de voyage";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320197";"1.1.2.1";"49919";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Tous les motifs principaux de voyage";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320198";"1.1.2.2";"41676";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Tous les motifs principaux de voyage";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320199";"1.1.3.1";"28838";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Tous les motifs principaux de voyage";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320200";"1.1.3.2";"24120";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Motif personnel";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918320201";"1.2.1.1";"70880";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Motif personnel";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320202";"1.2.1.2";"58308";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Motif personnel";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320203";"1.2.2.1";"44995";"A";"";"";"0"
"2018-01";"Tous les pays et régions de destination du voyage";"";"Motif personnel";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320204";"1.2.2.2";"36987";"A";"";"";"0"
